eval_exp,training_exp,eval_accuracy,eval_loss,forgetting
0,0,0.9060,0.3284,0
1,0,0.0975,3.4996,0
2,0,0.1042,3.2034,0
0,1,0.1480,3.0463,0.7580
1,1,0.8960,0.3321,0
2,1,0.0754,4.7646,0
0,2,0.1200,4.2702,0.7860
1,2,0.1351,3.5355,0.7609
2,2,0.9030,0.3224,0
