eval_exp,training_exp,eval_accuracy,eval_loss,forgetting
0,0,0.9241,0.2574,0
1,0,0.1530,2.6860,0
2,0,0.1386,2.8128,0
0,1,0.9169,0.2658,0.0072
1,1,0.9185,0.2726,0
2,1,0.0845,3.0646,0
0,2,0.9068,0.2935,0.0173
1,2,0.9119,0.2861,0.0066
2,2,0.8865,0.3554,0
