eval_exp,training_exp,eval_accuracy,eval_loss,forgetting
0,0,0.9328,0.2257,0
1,0,0.1318,2.9927,0
2,0,0.0828,3.5123,0
0,1,0.2590,2.5745,0.6738
1,1,0.9369,0.2146,0
2,1,0.1115,3.3174,0
0,2,0.1067,3.3085,0.8261
1,2,0.1481,2.9569,0.7888
2,2,0.9272,0.2346,0
